Confirmed,Date,Deaths,Location,Recovered,_id
142,2020-01-29T18:30:00.000Z,1,Sichuan,1,621c51e5c4f24f87f62d5574
129,2020-01-29T18:30:00.000Z,0,Jiangsu,1,621c51e5c4f24f87f62d5575
114,2020-01-29T18:30:00.000Z,1,Beijing,4,621c51e5c4f24f87f62d5576
112,2020-01-29T18:30:00.000Z,1,Shanghai,5,621c51e5c4f24f87f62d5577
101,2020-01-29T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d5578
78,2020-01-29T18:30:00.000Z,0,Guangxi,2,621c51e5c4f24f87f62d5579
70,2020-01-29T18:30:00.000Z,0,Yunnan,0,621c51e5c4f24f87f62d557a
65,2020-01-29T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d557b
63,2020-01-29T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d557c
46,2020-01-29T18:30:00.000Z,1,Hainan,1,621c51e5c4f24f87f62d557d
44,2020-01-29T18:30:00.000Z,2,Heilongjiang,0,621c51e5c4f24f87f62d557e
41,2020-01-29T18:30:00.000Z,0,Liaoning,1,621c51e5c4f24f87f62d557f
35,2020-01-29T18:30:00.000Z,0,Shanxi,1,621c51e5c4f24f87f62d5580
31,2020-01-29T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d5581
26,2020-01-29T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d5582
19,2020-01-29T18:30:00.000Z,0,Inner Mongolia,0,621c51e5c4f24f87f62d5583
17,2020-01-29T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d5584
14,2020-01-29T18:30:00.000Z,0,Jilin,1,621c51e5c4f24f87f62d5585
14,2020-01-29T18:30:00.000Z,0,Xinjiang,0,621c51e5c4f24f87f62d5586
12,2020-01-29T18:30:00.000Z,0,Guizhou,1,621c51e5c4f24f87f62d5587
8,2020-01-29T18:30:00.000Z,0,Qinghai,0,621c51e5c4f24f87f62d558a
1,2020-01-29T18:30:00.000Z,0,Tibet,0,621c51e5c4f24f87f62d558c
5806,2020-01-30T18:30:00.000Z,204,Hubei,141,621c51e5c4f24f87f62d55a5
538,2020-01-30T18:30:00.000Z,0,Zhejiang,14,621c51e5c4f24f87f62d55a6
436,2020-01-30T18:30:00.000Z,0,Guangdong,11,621c51e5c4f24f87f62d55a7
352,2020-01-30T18:30:00.000Z,2,Henan,3,621c51e5c4f24f87f62d55a8
332,2020-01-30T18:30:00.000Z,0,Hunan,2,621c51e5c4f24f87f62d55a9
240,2020-01-30T18:30:00.000Z,0,Jiangxi,7,621c51e5c4f24f87f62d55aa
237,2020-01-30T18:30:00.000Z,0,Anhui,3,621c51e5c4f24f87f62d55ab
211,2020-01-30T18:30:00.000Z,0,Chongqing,1,621c51e5c4f24f87f62d55ac
